,date,term,ejlasie,present_mps,session,url,date_year,date_month,date_day
0,1397-02-19,10,2,194,204,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1435,1397,02,19
1,1397-12-19,10,3,196,300,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1429,1397,12,19
2,1397-12-21,10,3,196,302,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1433,1397,12,21
3,1397-12-26,10,3,194,303,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1434,1397,12,26
4,1398-01-18,10,3,203,304,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1436,1398,01,18
5,1398-01-19,10,3,198,305,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1437,1398,01,19
6,1398-01-20,10,3,208,306,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1438,1398,01,20
7,1398-01-20,10,3,197,307,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1440,1398,01,20
8,1398-01-25,10,3,219,308,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1441,1398,01,25
9,1398-01-26,10,3,195,309,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1445,1398,01,26
10,1398-01-27,10,3,205,310,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1430,1398,01,27
11,1398-01-27,10,4,194,311,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1357,1398,01,27
12,1398-02-02,10,3,225,312,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1412,1398,02,02
13,1398-02-03,10,3,194,314,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1432,1398,02,03
14,1398-02-16,10,3,249,316,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1439,1398,02,16
15,1398-02-24,10,3,231,321,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1355,1398,02,24
16,1398-02-24,10,3,195,322,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1362,1398,02,24
17,1398-02-29,10,3,204,323,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1400,1398,02,29
18,1398-02-30,10,3,202,324,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1409,1398,02,30
19,1398-02-31,10,3,197,325,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1416,1398,02,31
20,1398-02-31,10,3,195,326,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1420,1398,02,31
21,1398-03-04,10,3,195,327,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1421,1398,03,04
22,1398-03-05,10,3,221,328,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1422,1398,03,05
23,1398-03-19,10,4,220,329,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1425,1398,03,19
24,1398-03-20,10,4,200,330,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1427,1398,03,20
25,1398-03-20,10,4,194,331,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1354,1398,03,20
26,1398-03-21,10,4,195,332,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1369,1398,03,21
27,1398-03-26,10,4,229,333,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1382,1398,03,26
28,1398-03-27,10,4,201,334,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1386,1398,03,27
29,1398-03-27,10,4,196,335,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1408,1398,03,27
30,1398-03-28,10,4,194,336,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1413,1398,03,28
31,1398-04-02,10,4,194,337,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1418,1398,04,02
32,1398-04-03,10,4,202,338,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1424,1398,04,03
33,1398-04-03,10,4,194,339,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1426,1398,04,03
34,1398-04-04,10,4,200,340,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1428,1398,04,04
35,1398-04-22,10,4,225,341,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1348,1398,04,22
36,1398-04-24,10,4,201,342,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1360,1398,04,24
37,1398-04-24,10,4,194,343,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1363,1398,04,24
38,1398-04-25,10,4,201,344,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1367,1398,04,25
39,1398-04-30,10,4,205,345,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1370,1398,04,30
40,1398-04-31,10,4,201,346,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1385,1398,04,31
41,1398-04-31,10,4,194,347,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1389,1398,04,31
42,1398-05-01,10,4,194,348,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1374,1398,05,01
43,1398-05-06,10,4,210,349,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1378,1398,05,06
44,1398-05-07,10,4,200,350,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1381,1398,05,07
45,1398-05-07,10,4,193,351,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1350,1398,05,07
46,1398-05-08,10,4,194,352,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1361,1398,05,08
47,1398-05-26,10,4,198,353,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1366,1398,05,26
48,1398-05-27,10,4,199,354,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1371,1398,05,27
49,1398-06-03,10,4,218,355,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1375,1398,06,03
50,1398-06-04,10,4,195,356,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1377,1398,06,04
51,1398-06-04,10,4,192,357,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1380,1398,06,04
52,1398-06-05,10,4,193,358,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1387,1398,06,05
53,1398-06-10,10,4,199,359,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1395,1398,06,10
54,1398-06-11,10,4,217,360,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1396,1398,06,11
55,1398-06-11,10,4,195,361,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1351,1398,06,11
56,1398-06-12,10,4,195,362,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1364,1398,06,12
57,1398-07-02,10,4,197,363,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1368,1398,07,02
58,1398-07-03,10,4,199,364,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1376,1398,07,03
59,1398-07-07,10,4,217,365,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1383,1398,07,07
60,1398-07-07,10,4,203,366,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1390,1398,07,07
61,1398-07-08,10,4,193,367,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1417,1398,07,08
62,1398-07-09,10,4,201,368,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1415,1398,07,09
63,1398-07-14,10,4,208,369,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1414,1398,07,14
64,1398-07-14,10,4,195,370,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1411,1398,07,14
65,1398-07-15,10,4,227,371,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1349,1398,07,15
66,1398-07-16,10,4,225,372,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1359,1398,07,16
67,1398-07-21,10,4,195,373,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1365,1398,07,21
68,1398-07-21,10,4,195,374,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1372,1398,07,21
69,1398-07-22,10,4,194,375,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1379,1398,07,22
70,1398-07-22,10,4,192,376,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1388,1398,07,22
71,1398-08-12,10,4,217,377,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1391,1398,08,12
72,1398-08-12,10,4,192,378,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1410,1398,08,12
73,1398-08-13,10,4,209,379,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1407,1398,08,13
74,1398-08-14,10,4,193,380,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1405,1398,08,14
75,1398-08-19,10,4,197,381,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1397,1398,08,19
76,1398-08-19,10,4,200,382,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1398,1398,08,19
77,1398-08-20,10,4,206,383,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1399,1398,08,20
78,1398-08-21,10,4,219,384,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1401,1398,08,21
79,1398-08-26,10,4,267,385,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1402,1398,08,26
80,1398-09-03,10,3,219,313,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1419,1398,09,03
81,1398-12-20,10,3,194,301,http://mashrouh.parliran.ir:81/Main.aspx?sessionId=1431,1398,12,20
